"name","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Rivolta de Bassi","Stone-uncl","103.3","Fell","1490","45.483330","9.516670","(45.48333, 9.51667)"
"Ensisheim","LL6","127000","Fell","1491","47.866670","7.350000","(47.86667, 7.35)"
"Castrovillari","Stone-uncl","15000","Fell","1583","39.800000","16.200000","(39.8, 16.2)"
"Jalandhar","Iron","1967","Fell","1621","31.000000","75.000000","(31.0, 75.0)"
"Stretchleigh","Stone-uncl","10400","Fell","1623","50.383330","-3.950000","(50.38333, -3.95)"
"Hatford","Stone-uncl","29000","Fell","1628","51.650000","-1.516670","(51.65, -1.51667)"
"Minamino","L","1040","Fell","1632","35.078330","136.933330","(35.07833, 136.93333)"
"Mount Vaisi","Stone-uncl","17000","Fell","1637","44.083330","6.866670","(44.08333, 6.86667)"
"Vago","H6","40","Fell","1668","45.416670","11.133330","(45.41667, 11.13333)"
"Ortenau","Stone-uncl","4500","Fell","1671","48.500000","8.000000","(48.5, 8.0)"
"Sasagase","H","695","Fell","1688","34.716670","137.783330","(34.71667, 137.78333)"
"Schellin","L","7000","Fell","1715","53.350000","15.050000","(53.35, 15.05)"
"Siratik","Iron, IIAB","1700","Found","1716","14.000000","-11.000000","(14.0, -11.0)"
"Ploschkovitz","L5","39","Fell","1723","50.533330","14.116670","(50.53333, 14.11667)"
"Steinbach","Iron, IVA-an","98000","Found","1724","50.500000","12.500000","(50.5, 12.5)"
"Rasgrad","Stone-uncl","24700","Fell","1740","43.500000","26.533330","(43.5, 26.53333)"
"Ogi","H6","14360","Fell","1741","33.283330","130.200000","(33.28333, 130.2)"
"Krasnojarsk","Pallasite, PMG-an","700000","Found","1749","54.900000","91.800000","(54.9, 91.8)"
"Hraschina","Iron, IID","49000","Fell","1751","46.100000","16.333330","(46.1, 16.33333)"
"Luponnas","H3-5","14000","Fell","1753","46.216670","5.000000","(46.21667, 5.0)"
"Tabor","H5","7540","Fell","1753","49.400000","14.650000","(49.4, 14.65)"
"Albareto","L/LL4","2000","Fell","1766","44.650000","11.016670","(44.65, 11.01667)"
"Lucé","L6","3500","Fell","1768","47.850000","0.483330","(47.85, 0.48333)"
"Mauerkirchen","L6","19000","Fell","1768","48.183330","13.133330","(48.18333, 13.13333)"
"Sena","H4","4000","Fell","1773","41.716670","-0.050000","(41.71667, -0.05)"
"Rodach","Stone-uncl","2900","Fell","1775","50.350000","10.800000","(50.35, 10.8)"
"Longchang","Iron, IVA-an","158500","Found","1781","29.300000","105.300000","(29.3, 105.3)"
"Sierra Blanca","Iron, IAB?","405","Found","1784","27.150000","-104.900000","(27.15, -104.9)"
"Eichstädt","H5","3000","Fell","1785","48.900000","11.216670","(48.9, 11.21667)"
"Kharkov","L6","1500","Fell","1787","50.625000","35.075000","(50.625, 35.075)"
"Barbotan","H5","6400","Fell","1790","43.950000","-0.050000","(43.95, -0.05)"
"Cape of Good Hope","Iron, IVB","136000","Found","1793","-33.500000","26.000000","(-33.5, 26.0)"
"Siena","LL5","3700","Fell","1794","43.116670","11.600000","(43.11667, 11.6)"
"Mulletiwu","L","25.5","Fell","1795","9.333330","80.833330","(9.33333, 80.83333)"
"Wold Cottage","L6","25000","Fell","1795","54.136670","-0.413330","(54.13667, -0.41333)"
"Bjelaja Zerkov","H6","1850","Fell","1796","49.783330","30.166670","(49.78333, 30.16667)"
"Portugal","Stone-uncl","4500","Fell","1796","38.500000","-8.000000","(38.5, -8.0)"
"Prambanan","Iron, ungrouped","500000","Found","1797","-7.566670","110.833330","(-7.56667, 110.83333)"
"Benares (a)","LL4","3700","Fell","1798","25.366670","82.916670","(25.36667, 82.91667)"
"Salles","L5","9000","Fell","1798","46.050000","4.633330","(46.05, 4.63333)"
"Mauritius","L6","220","Fell","1801","-20.000000","57.000000","(-20.0, 57.0)"
"Apt","L6","3200","Fell","1803","43.866670","5.383330","(43.86667, 5.38333)"
"L'Aigle","L6","37000","Fell","1803","48.766670","0.633330","(48.76667, 0.63333)"
"Mässing","Howardite","1600","Fell","1803","48.133330","12.616670","(48.13333, 12.61667)"
"Bocas","L6","56","Fell","1804","23.000000","-102.000000","(23.0, -102.0)"
"Darmstadt","H5","100","Fell","1804","49.866670","8.650000","(49.86667, 8.65)"
"High Possil","L6","4500","Fell","1804","55.900000","-4.233330","(55.9, -4.23333)"
"Misteca","Iron, ungrouped","10000","Found","1804","16.800000","-97.100000","(16.8, -97.1)"
"Asco","H6","41","Fell","1805","42.450000","9.033330","(42.45, 9.03333)"
"Doroninsk","H5-7","3891","Fell","1805","51.200000","112.300000","(51.2, 112.3)"
"Alais","CI1","6000","Fell","1806","44.116670","4.083330","(44.11667, 4.08333)"
"Timochin","H5","65500","Fell","1807","54.500000","35.200000","(54.5, 35.2)"
"Weston","H4","150000","Fell","1807","41.266667","-73.266667","(41.266667, -73.266667)"
"Borgo San Donino","LL6","1676","Fell","1808","44.866670","10.050000","(44.86667, 10.05)"
"Lissa","L6","12800","Fell","1808","50.200000","14.850000","(50.2, 14.85)"
"Moradabad","L6","70","Fell","1808","28.783330","78.833330","(28.78333, 78.83333)"
"Stannern","Eucrite-mmict","52000","Fell","1808","49.283330","15.566670","(49.28333, 15.56667)"
"Red River","Iron, IIIAB","800000","Found","1808","32.000000","-95.000000","(32.0, -95.0)"
"Kikino","H6","195","Fell","1809","55.000000","34.000000","(55.0, 34.0)"
"Caswell County","OC","1360","Fell","1810","36.500000","-79.250000","(36.5, -79.25)"
"Charsonville","H6","27000","Fell","1810","47.933330","1.566670","(47.93333, 1.56667)"
"Mooresfort","H5","3520","Fell","1810","52.450000","-8.333330","(52.45, -8.33333)"
"Brahin","Pallasite, PMG","823000","Found","1810","52.500000","30.333330","(52.5, 30.33333)"
